3.438852111521840e-01,4.394989415641891e+00,2.065518687422217e+00
9.093204020787821e+00,3.948273504276488e+00,-9.000453930211942e-01
2.587799816000169e+00,9.789997881108512e-01,-1.376429070042341e+00
6.625222843539820e+00,4.218742350231167e+00,2.682674023740246e-01
3.117110760894110e+00,-4.115074979480805e+00,-2.256139633802694e+00
5.200680211778108e+00,-3.040171375808548e+00,1.898759629347814e+00
5.467102793432796e+00,-4.547727110894620e+00,-2.673177144580277e+00
1.848544555255270e+00,-1.746696692367356e+00,3.059200846306049e+00
9.695846277645586e+00,-1.113227103105180e+00,1.710564334401254e+00
7.751328233611146e+00,-2.286509682261041e+00,-1.893025203068103e+00
